"","mean_daily_temp.max_SST","mean_daily_temp.min_SST","Temp.seasonal_SST","maxDHW_SST","mean_daily_temp.max_insitu","mean_daily_temp.min_insitu","Temp.seasonal_insitu","CCC","Nursery"
"1",30.52,25.58,4.94,1.04335195852535,31.589175,23.4400916666667,8.14908333333333,1,0
"2",30.52,25.58,4.94,1.04335195852535,31.589175,23.4400916666667,8.14908333333333,1,0
"3",30.52,25.58,4.94,1.04335195852535,31.589175,23.4400916666667,8.14908333333333,1,0
"4",30.52,25.58,4.94,1.04335195852535,31.589175,23.4400916666667,8.14908333333333,1,0
"6",30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
"7",30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
"8",30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
"9",30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
"10",30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
"11",30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
"12",30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
